timestamp,open,high,low,close,volume
2026-02-01 00:00:00,2451.96,2475.98,2446.12,2452.18,31996.0758
2026-02-01 01:00:00,2452.18,2455.61,2429.15,2444.7,25046.808
2026-02-01 02:00:00,2444.7,2461.81,2440.24,2452.61,18593.7778
2026-02-01 03:00:00,2452.61,2456.62,2438.13,2445.46,17349.576
2026-02-01 04:00:00,2445.46,2454.66,2441.52,2448.23,14512.1428
2026-02-01 05:00:00,2448.23,2449.44,2424.56,2430.51,27364.6736
2026-02-01 06:00:00,2430.52,2440.0,2408.17,2418.65,39396.8089
2026-02-01 07:00:00,2418.66,2438.79,2393.46,2411.22,41360.5907
2026-02-01 08:00:00,2411.22,2428.37,2396.57,2412.95,26787.2595
2026-02-01 09:00:00,2412.95,2438.22,2406.63,2432.23,13076.8797
2026-02-01 10:00:00,2432.23,2438.98,2376.1,2381.03,35950.3688
2026-02-01 11:00:00,2381.04,2423.9,2381.03,2411.86,24016.0062
2026-02-01 12:00:00,2411.86,2412.47,2365.0,2396.02,35212.3148
2026-02-01 13:00:00,2396.01,2410.53,2370.1,2381.13,16675.0461
2026-02-01 14:00:00,2381.13,2389.57,2326.96,2373.07,58996.7022
2026-02-01 15:00:00,2373.07,2373.07,2285.4,2315.39,104485.0708
2026-02-01 16:00:00,2315.47,2333.15,2284.17,2304.06,65276.3945
2026-02-01 17:00:00,2304.07,2321.94,2296.92,2313.96,66387.2351
2026-02-01 18:00:00,2313.96,2377.99,2313.33,2350.97,62483.8957
2026-02-01 19:00:00,2350.96,2356.0,2306.29,2320.35,42306.8961
2026-02-01 20:00:00,2320.35,2349.24,2298.56,2316.36,49601.9957
2026-02-01 21:00:00,2316.35,2319.57,2279.16,2290.58,42305.8418
2026-02-01 22:00:00,2290.59,2334.9,2287.18,2319.33,30333.6734
2026-02-01 23:00:00,2319.33,2321.69,2222.0,2270.15,137057.9126
2026-02-02 00:00:00,2270.16,2324.17,2242.33,2293.2,60689.7837
2026-02-02 01:00:00,2293.21,2318.66,2250.13,2291.29,43004.2794
2026-02-02 02:00:00,2291.3,2300.51,2259.48,2262.27,39005.3798
2026-02-02 03:00:00,2262.27,2267.67,2166.14,2239.02,155660.4702
2026-02-02 04:00:00,2239.01,2268.0,2207.55,2240.54,41154.0244
2026-02-02 05:00:00,2240.54,2243.11,2184.95,2198.02,61147.3626
2026-02-02 06:00:00,2198.02,2240.5,2157.14,2227.44,141581.6742
2026-02-02 07:00:00,2227.43,2253.16,2217.57,2228.93,57911.8795
2026-02-02 08:00:00,2228.93,2258.62,2228.93,2249.33,37267.1747
2026-02-02 09:00:00,2249.33,2319.0,2237.57,2291.57,56425.2896
2026-02-02 10:00:00,2291.58,2299.67,2273.52,2277.8,41471.2155
2026-02-02 11:00:00,2277.8,2298.01,2273.5,2282.32,67266.3649
2026-02-02 12:00:00,2282.32,2318.13,2282.01,2311.66,36325.7143
2026-02-02 13:00:00,2311.65,2335.9,2302.45,2327.93,29550.5716
2026-02-02 14:00:00,2327.93,2367.68,2274.19,2328.94,115148.8907
2026-02-02 15:00:00,2328.93,2396.62,2320.0,2372.71,79805.834
2026-02-02 16:00:00,2372.71,2387.31,2349.9,2358.71,40086.108
2026-02-02 17:00:00,2358.71,2381.59,2345.74,2356.54,34835.4371
2026-02-02 18:00:00,2356.53,2359.78,2332.74,2345.22,29357.1037
2026-02-02 19:00:00,2345.22,2351.17,2327.68,2331.54,19470.9225
2026-02-02 20:00:00,2331.52,2340.78,2313.33,2322.07,25644.5405
2026-02-02 21:00:00,2322.07,2345.2,2319.21,2342.04,14736.4581
2026-02-02 22:00:00,2342.04,2354.99,2336.0,2351.29,10355.6396
2026-02-02 23:00:00,2351.3,2355.55,2340.0,2347.02,10633.0928
2026-02-03 00:00:00,2347.01,2355.77,2325.23,2353.98,20152.9167
2026-02-03 01:00:00,2353.98,2359.88,2337.87,2354.68,18244.219
2026-02-03 02:00:00,2354.69,2354.87,2297.13,2298.72,25890.3164
2026-02-03 03:00:00,2298.72,2345.15,2284.48,2344.03,28192.8775
2026-02-03 04:00:00,2343.99,2354.99,2333.31,2345.57,58243.0576
2026-02-03 05:00:00,2345.57,2345.79,2315.0,2316.12,36438.2864
2026-02-03 06:00:00,2316.13,2328.49,2298.44,2320.48,22606.6425
2026-02-03 07:00:00,2320.48,2333.61,2312.8,2323.12,25649.6096
2026-02-03 08:00:00,2323.13,2332.57,2309.2,2315.77,20330.0489
2026-02-03 09:00:00,2315.77,2318.9,2262.15,2292.06,48287.7233
2026-02-03 10:00:00,2292.06,2299.94,2276.7,2281.79,16482.4883
2026-02-03 11:00:00,2281.79,2288.49,2270.39,2276.68,40694.3986
2026-02-03 12:00:00,2276.68,2306.01,2272.21,2301.32,27004.257
2026-02-03 13:00:00,2301.31,2317.65,2296.44,2312.21,22529.4225
2026-02-03 14:00:00,2312.22,2316.96,2255.02,2257.2,50376.2654
2026-02-03 15:00:00,2257.19,2313.43,2251.94,2303.2,65777.0774
2026-02-03 16:00:00,2303.21,2303.4,2235.19,2240.6,107134.5482
2026-02-03 17:00:00,2240.6,2244.58,2193.5,2195.11,111725.7898
2026-02-03 18:00:00,2195.11,2206.98,2110.0,2120.65,171392.473
2026-02-03 19:00:00,2120.65,2218.4,2112.08,2205.28,109307.3092
2026-02-03 20:00:00,2205.27,2343.82,2188.25,2299.46,150442.909
2026-02-03 21:00:00,2299.46,2337.58,2279.76,2283.92,58783.3246
2026-02-03 22:00:00,2283.93,2286.17,2229.01,2236.38,41969.2271
2026-02-03 23:00:00,2236.38,2248.62,2212.84,2233.72,43444.1987
2026-02-04 00:00:00,2233.72,2256.62,2223.88,2241.02,25337.5357
2026-02-04 01:00:00,2241.03,2281.82,2241.03,2268.64,24417.1184
2026-02-04 02:00:00,2268.65,2276.61,2242.55,2251.82,19657.235
2026-02-04 03:00:00,2251.82,2295.74,2249.14,2283.37,24748.6839
2026-02-04 04:00:00,2283.37,2290.09,2270.21,2273.78,13646.1597
2026-02-04 05:00:00,2273.78,2280.54,2256.0,2265.4,16200.6492
2026-02-04 06:00:00,2265.39,2284.3,2258.17,2277.54,16454.6598
2026-02-04 07:00:00,2277.54,2293.99,2263.74,2283.85,31850.2964
2026-02-04 08:00:00,2283.84,2285.9,2266.49,2279.73,17098.8024
2026-02-04 09:00:00,2279.73,2279.91,2251.46,2260.65,18247.5106
2026-02-04 10:00:00,2260.65,2264.44,2250.58,2260.74,11981.4312
2026-02-04 11:00:00,2260.74,2267.32,2221.47,2254.86,85075.0719
2026-02-04 12:00:00,2254.86,2263.3,2226.43,2243.92,53056.3496
2026-02-04 13:00:00,2243.91,2246.09,2197.47,2198.63,57203.3888
2026-02-04 14:00:00,2198.63,2226.28,2168.82,2171.87,87588.5577
2026-02-04 15:00:00,2171.87,2197.26,2136.6,2151.83,124679.7803
2026-02-04 16:00:00,2151.84,2161.14,2106.0,2135.05,129090.864
2026-02-04 17:00:00,2135.04,2154.59,2093.5,2126.07,137960.4338
2026-02-04 18:00:00,2126.07,2185.63,2076.68,2147.97,139137.5754
2026-02-04 19:00:00,2147.97,2194.71,2133.31,2188.27,69042.1496
2026-02-04 20:00:00,2188.26,2192.7,2161.79,2172.02,32577.3889
2026-02-04 21:00:00,2172.03,2180.9,2108.56,2129.8,41761.8834
2026-02-04 22:00:00,2129.8,2168.46,2088.01,2120.16,55357.069
2026-02-04 23:00:00,2120.16,2165.65,2115.47,2148.26,32572.8353
2026-02-05 00:00:00,2148.25,2164.15,2136.81,2149.78,18420.2987
2026-02-05 01:00:00,2149.78,2173.77,2123.04,2148.55,37524.4443
2026-02-05 02:00:00,2148.54,2163.67,2113.32,2124.31,46882.7278
2026-02-05 03:00:00,2124.3,2136.68,2097.94,2110.0,70425.8791
2026-02-05 04:00:00,2110.0,2125.26,2078.32,2104.03,67759.9965
2026-02-05 05:00:00,2104.03,2124.55,2077.7,2101.42,54676.8449
2026-02-05 06:00:00,2101.42,2107.72,2068.2,2087.57,60204.5995
2026-02-05 07:00:00,2087.57,2124.32,2085.72,2091.4,49914.712
2026-02-05 08:00:00,2091.5,2121.27,2091.32,2111.76,34195.5265
2026-02-05 09:00:00,2111.8,2149.75,2111.16,2133.45,34085.5656
2026-02-05 10:00:00,2133.46,2140.5,2086.54,2097.72,42052.9122
2026-02-05 11:00:00,2097.72,2105.3,2061.96,2079.98,61549.2051
2026-02-05 12:00:00,2079.98,2092.71,2043.16,2063.99,91567.2333
2026-02-05 13:00:00,2063.98,2080.76,2048.38,2058.64,43161.8274
2026-02-05 14:00:00,2058.64,2106.51,2042.42,2046.6,97110.5209
2026-02-05 15:00:00,2046.59,2054.16,1927.33,1961.12,255705.748
2026-02-05 16:00:00,1961.12,2018.33,1944.94,1998.68,116393.9324
2026-02-05 17:00:00,1998.68,2001.77,1943.57,1955.09,79113.8792
2026-02-05 18:00:00,1955.09,1968.73,1913.76,1950.3,102822.6992
2026-02-05 19:00:00,1950.35,1953.81,1918.14,1928.76,79191.6388
2026-02-05 20:00:00,1928.78,1943.06,1825.06,1869.59,221025.504
2026-02-05 21:00:00,1869.6,1912.35,1840.04,1850.48,133385.2568
2026-02-05 22:00:00,1850.42,1890.17,1818.18,1870.79,80415.387
2026-02-05 23:00:00,1870.78,1907.66,1820.46,1826.83,74700.3559
2026-02-06 00:00:00,1826.83,1892.65,1747.8,1870.61,251543.0577
2026-02-06 01:00:00,1870.63,1940.16,1870.37,1932.17,113407.9511
2026-02-06 02:00:00,1932.17,1947.84,1891.46,1907.49,48456.3513
2026-02-06 03:00:00,1907.5,1917.88,1879.24,1891.82,54548.0956
2026-02-06 04:00:00,1891.81,1917.8,1885.95,1909.03,34232.0514
2026-02-06 05:00:00,1909.02,1975.75,1906.6,1958.69,53356.4351
2026-02-06 06:00:00,1958.69,1967.27,1906.89,1908.32,77948.1055
2026-02-06 07:00:00,1908.32,1915.15,1887.29,1899.42,102231.864
2026-02-06 08:00:00,1899.41,1907.01,1866.13,1874.46,115044.0677
2026-02-06 09:00:00,1874.46,1929.18,1871.1,1919.0,99856.6883
2026-02-06 10:00:00,1919.08,1934.98,1909.69,1926.94,102748.7425
2026-02-06 11:00:00,1926.93,1939.35,1919.96,1932.68,54954.1328
2026-02-06 12:00:00,1932.67,1932.67,1914.88,1920.91,41598.4067
2026-02-06 13:00:00,1920.91,1962.39,1919.29,1950.31,75652.1242
