timestamp,open,high,low,close,volume
2026-02-01 00:00,781.39,786.6,779.68,785.29,8194.051
2026-02-01 01:00,785.29,785.83,779.22,784.99,6446.933
2026-02-01 02:00,785.0,789.72,783.86,786.99,8327.181
2026-02-01 03:00,787.0,787.34,779.8,783.63,10472.66
2026-02-01 04:00,783.64,785.0,781.71,781.93,6714.696
2026-02-01 05:00,781.94,784.0,779.08,780.6,7118.609
2026-02-01 06:00,780.61,783.28,777.37,777.39,4603.089
2026-02-01 07:00,777.39,782.56,773.84,778.01,7818.758
2026-02-01 08:00,778.0,782.79,775.07,779.0,5806.146
2026-02-01 09:00,779.01,782.48,777.0,781.64,3293.927
2026-02-01 10:00,781.64,782.48,769.44,769.85,8627.559
2026-02-01 11:00,769.85,775.61,768.29,774.07,6203.767
2026-02-01 12:00,774.07,774.19,766.92,769.3,6901.547
2026-02-01 13:00,769.3,773.64,763.71,765.6,8497.207
2026-02-01 14:00,765.6,767.4,746.0,762.84,42155.31
2026-02-01 15:00,762.85,763.0,742.7,749.98,31443.308
2026-02-01 16:00,749.98,757.16,745.83,753.48,17624.949
2026-02-01 17:00,753.48,756.42,749.49,756.13,7680.466
2026-02-01 18:00,756.13,766.8,756.09,763.25,8539.861
2026-02-01 19:00,763.26,764.44,753.94,757.15,4767.721
2026-02-01 20:00,757.14,763.7,751.81,757.64,6527.879
2026-02-01 21:00,757.64,758.45,750.53,753.68,5669.298
2026-02-01 22:00,753.67,765.51,753.67,761.81,5670.996
2026-02-01 23:00,761.8,766.39,739.63,758.54,30019.602
2026-02-02 00:00,758.54,770.61,753.81,764.19,11146.96
2026-02-02 01:00,764.18,769.35,753.6,765.13,9595.908
2026-02-02 02:00,765.13,766.9,757.45,758.52,7273.421
2026-02-02 03:00,758.53,759.04,728.44,751.57,51210.002
2026-02-02 04:00,751.58,760.39,743.49,751.38,18095.14
2026-02-02 05:00,751.38,753.19,735.55,738.09,25463.794
2026-02-02 06:00,738.09,754.77,728.88,747.95,42985.755
2026-02-02 07:00,747.96,756.94,747.0,752.5,16362.91
2026-02-02 08:00,752.58,760.33,752.57,758.4,6266.631
2026-02-02 09:00,758.41,767.35,755.32,764.03,11185.822
2026-02-02 10:00,764.03,765.47,759.52,760.16,8009.204
2026-02-02 11:00,760.17,766.19,760.17,762.36,6824.228
2026-02-02 12:00,762.37,769.57,762.37,766.46,7078.144
2026-02-02 13:00,766.46,769.44,763.71,767.74,6176.408
2026-02-02 14:00,767.74,775.31,761.86,769.4,21156.879
2026-02-02 15:00,769.41,781.09,767.46,777.86,13939.651
2026-02-02 16:00,777.87,781.58,774.52,775.31,8539.288
2026-02-02 17:00,775.32,778.3,772.53,774.93,7236.997
2026-02-02 18:00,774.93,777.75,772.22,774.7,6648.634
2026-02-02 19:00,774.7,776.09,769.72,770.39,3648.925
2026-02-02 20:00,770.38,773.75,767.6,769.66,6912.912
2026-02-02 21:00,769.67,774.6,769.52,773.91,4442.201
2026-02-02 22:00,773.9,776.0,773.5,775.95,3745.858
